,model,roi,layer_type,mean_spearman,ci_lower,ci_upper,p_value_two_sided,p_fdr,reject_fdr
0,depth,EBA,head,0.07159345,0.039841723,0.10649039,0.0001999600079984003,0.0003999200159968006,True
1,depth,EBA,transformer,0.027420564,-0.0055842646,0.058504105,0.1757648470305939,0.1757648470305939,False
2,depth,FBA_1,head,0.039476197,-0.0001352474,0.07618588,0.1859628074385123,0.3719256148770246,False
3,depth,FBA_1,transformer,-0.016326904,-0.06177304,0.017142553,0.6284743051389722,0.6284743051389722,False
4,depth,FBA_2,head,0.02772857,0.011549219,0.05388016,0.014597080583883223,0.029194161167766446,True
5,depth,FBA_2,transformer,-0.041194554,-0.07091447,-0.013413125,0.04859028194361128,0.04859028194361128,True
6,depth,FFA_1,head,0.05505352,0.021360915,0.08647374,0.01999600079984003,0.01999600079984003,True
7,depth,FFA_1,transformer,-0.05242388,-0.07255875,-0.033013538,0.009798040391921616,0.019596080783843232,True
8,depth,FFA_2,head,0.033875085,0.0038498747,0.060255945,0.07318536292741452,0.07318536292741452,False
9,depth,FFA_2,transformer,-0.04054771,-0.069402106,-0.0123871025,0.04879024195160968,0.07318536292741452,False
10,depth,OFA,head,0.080233306,0.04465281,0.11037219,0.0065986802639472104,0.013197360527894421,True
11,depth,OFA,transformer,-0.02888444,-0.051641367,-0.008717466,0.04059188162367527,0.04059188162367527,True
12,depth,V1d,head,0.07644519,0.05010608,0.10419646,0.006798640271945611,0.013597280543891222,True
13,depth,V1d,transformer,-0.021929206,-0.03701451,-0.007371845,0.05358928214357129,0.05358928214357129,False
14,depth,V1v,head,0.06498559,0.0417945,0.0944243,0.007998400319936013,0.009198160367926415,True
15,depth,V1v,transformer,-0.027472833,-0.040850434,-0.01509308,0.009198160367926415,0.009198160367926415,True
16,depth,V2d,head,0.088005304,0.06021139,0.11553634,0.0001999600079984003,0.0003999200159968006,True
17,depth,V2d,transformer,-0.00980777,-0.025090182,0.0046648807,0.2829434113177364,0.2829434113177364,False
18,depth,V2v,head,0.09360011,0.06593728,0.12245824,0.009198160367926415,0.01839632073585283,True
19,depth,V2v,transformer,-0.011891002,-0.03757,0.010890357,0.4003199360127974,0.4003199360127974,False
20,depth,V3d,head,0.104470946,0.07475663,0.1349606,0.0001999600079984003,0.0003999200159968006,True
21,depth,V3d,transformer,0.0001840936,-0.02484047,0.022798326,0.9924015196960608,0.9924015196960608,False
22,depth,V3v,head,0.093912505,0.06567287,0.12420705,0.008998200359928014,0.017996400719856028,True
23,depth,V3v,transformer,-0.0013571847,-0.024179496,0.023082899,0.9456108778244351,0.9456108778244351,False
24,depth,hV4,head,0.097707845,0.06251677,0.13114852,0.0061987602479504095,0.012397520495900819,True
25,depth,hV4,transformer,-0.028020602,-0.049022436,-0.006177301,0.06678664267146571,0.06678664267146571,False
26,general_pose,EBA,head,0.0025934689,-0.035512216,0.046753146,0.9234153169366127,0.9234153169366127,False
27,general_pose,EBA,transformer,0.07075418,0.047830455,0.08886739,0.007798440311937612,0.015596880623875225,True
28,general_pose,FBA_1,head,-0.032941904,-0.053686935,0.0008432284,0.12377524495100979,0.24755048990201958,False
29,general_pose,FBA_1,transformer,-0.024284571,-0.06850662,0.026299935,0.3659268146370726,0.3659268146370726,False
30,general_pose,FBA_2,head,-0.041270744,-0.076742835,-0.015258195,0.02959408118376325,0.0591881623675265,False
31,general_pose,FBA_2,transformer,-0.006602754,-0.03326713,0.02240046,0.6746650669866027,0.6746650669866027,False
32,general_pose,FFA_1,head,-0.0074862065,-0.034429546,0.02277017,0.634873025394921,0.634873025394921,False
33,general_pose,FFA_1,transformer,-0.04393734,-0.07531667,-0.010455978,0.052389522095580884,0.10477904419116177,False
34,general_pose,FFA_2,head,-0.049739394,-0.07601779,-0.025472011,0.016996600679864027,0.033993201359728054,True
35,general_pose,FFA_2,transformer,-0.03242984,-0.05462148,-0.0009333054,0.09038192361527694,0.09038192361527694,False
36,general_pose,OFA,head,0.030335033,-0.022152826,0.08550071,0.34573085382923413,0.6914617076584683,False
37,general_pose,OFA,transformer,0.0016449634,-0.044504464,0.05008421,0.9436112777444511,0.9436112777444511,False
38,general_pose,V1d,head,0.06483253,0.04661611,0.08326273,0.006798640271945611,0.013597280543891222,True
39,general_pose,V1d,transformer,-0.016819451,-0.0367174,0.0054357955,0.1891621675664867,0.1891621675664867,False
40,general_pose,V1v,head,0.06550197,0.041320622,0.09052841,0.008398320335932814,0.016796640671865627,True
41,general_pose,V1v,transformer,-0.023803534,-0.04648027,0.0020648325,0.1227754449110178,0.1227754449110178,False
42,general_pose,V2d,head,0.05401737,0.03653757,0.07805605,0.009198160367926415,0.01839632073585283,True
43,general_pose,V2d,transformer,0.0065105064,-0.013679543,0.029090997,0.6004799040191962,0.6004799040191962,False
44,general_pose,V2v,head,0.082089335,0.057698056,0.10658449,0.007798440311937612,0.015596880623875225,True
45,general_pose,V2v,transformer,-0.011929154,-0.049399406,0.028556775,0.6110777844431113,0.6110777844431113,False
46,general_pose,V3d,head,0.06235114,0.035912365,0.09159894,0.0001999600079984003,0.0003999200159968006,True
47,general_pose,V3d,transformer,0.018693846,-0.015116654,0.056647025,0.4165166966606679,0.4165166966606679,False
48,general_pose,V3v,head,0.09234301,0.067307696,0.11971041,0.009998000399920015,0.01999600079984003,True
49,general_pose,V3v,transformer,0.011683297,-0.013249621,0.03825389,0.4347130573885223,0.4347130573885223,False
50,general_pose,hV4,head,0.090509154,0.0497155,0.13409251,0.009598080383923215,0.01919616076784643,True
51,general_pose,hV4,transformer,-0.005431764,-0.048412316,0.042206097,0.827634473105379,0.827634473105379,False
52,normal,EBA,head,0.03896391,0.001989904,0.074740104,0.08418316336732654,0.08798240351929613,False
53,normal,EBA,transformer,0.02281825,0.00041856075,0.042699255,0.08798240351929613,0.08798240351929613,False
54,normal,FBA_1,head,0.019772269,-0.0014551091,0.04017662,0.19016196760647872,0.38032393521295743,False
55,normal,FBA_1,transformer,-0.012853977,-0.056286693,0.019916516,0.6222755448910218,0.6222755448910218,False
56,normal,FBA_2,head,0.008360448,-0.011408742,0.028270384,0.48150369926014797,0.48150369926014797,False
57,normal,FBA_2,transformer,-0.047986455,-0.07249643,-0.025763948,0.016996600679864027,0.033993201359728054,True
58,normal,FFA_1,head,0.01140721,-0.01679298,0.04077892,0.4777044591081784,0.4777044591081784,False
59,normal,FFA_1,transformer,-0.050563127,-0.06864598,-0.032462202,0.006998600279944011,0.013997200559888023,True
60,normal,FFA_2,head,0.010184315,-0.008419518,0.033962272,0.5086982603479304,0.5086982603479304,False
61,normal,FFA_2,transformer,-0.039349485,-0.0694017,-0.010268109,0.032993401319736056,0.06598680263947211,False
62,normal,OFA,head,0.058173336,0.015053442,0.10213401,0.041391721655668866,0.041391721655668866,True
63,normal,OFA,transformer,-0.06953232,-0.103694305,-0.03178821,0.02299540091981604,0.041391721655668866,True
64,normal,V1d,head,-0.00074558426,-0.031951703,0.034370374,0.9772045590881824,0.9772045590881824,False
65,normal,V1d,transformer,-0.018227814,-0.034953184,-0.001405126,0.10817836432713457,0.21635672865426914,False
66,normal,V1v,head,0.0005858857,-0.025532227,0.028248189,0.9486102779444111,0.9486102779444111,False
67,normal,V1v,transformer,-0.023992881,-0.038984895,-0.011450454,0.010997800439912017,0.021995600879824034,True
68,normal,V2d,head,0.03579449,0.0021960686,0.06948936,0.10857828434313137,0.21715656868626274,False
69,normal,V2d,transformer,-0.004547384,-0.0188812,0.010435487,0.5728854229154169,0.5728854229154169,False
70,normal,V2v,head,0.02467202,-0.0051290374,0.054121945,0.16656668666266747,0.33313337332533494,False
71,normal,V2v,transformer,-0.0075652804,-0.033636343,0.017695228,0.6190761847630474,0.6190761847630474,False
72,normal,V3d,head,0.047700047,0.013698995,0.08528069,0.047590481903619274,0.09518096380723855,False
73,normal,V3d,transformer,0.0033836053,-0.023235893,0.026171653,0.790241951609678,0.790241951609678,False
74,normal,V3v,head,0.04591672,0.012122772,0.080204956,0.06718656268746251,0.13437312537492502,False
75,normal,V3v,transformer,0.0026484784,-0.020715326,0.029435381,0.8564287142571486,0.8564287142571486,False
76,normal,hV4,head,0.045526944,0.016977316,0.069539785,0.029994001199760048,0.059988002399520096,False
77,normal,hV4,transformer,-0.02127124,-0.04259723,0.00088689127,0.11857628474305139,0.11857628474305139,False
78,seg,EBA,head,-0.09965455,-0.14175147,-0.062423207,0.006998600279944011,0.013997200559888023,True
79,seg,EBA,transformer,0.008628125,-0.018753985,0.03857881,0.6290741851629674,0.6290741851629674,False
80,seg,FBA_1,head,-0.11156945,-0.16677704,-0.058650266,0.06798640271945611,0.13597280543891221,False
81,seg,FBA_1,transformer,-0.015012001,-0.057857007,0.016497646,0.6186762647470506,0.6186762647470506,False
82,seg,FBA_2,head,-0.120270714,-0.17093168,-0.062301937,0.013597280543891222,0.027194561087782444,True
83,seg,FBA_2,transformer,-0.046404034,-0.07466435,-0.015358694,0.030193961207758448,0.030193961207758448,True
84,seg,FFA_1,head,-0.08515142,-0.12713951,-0.044631895,0.015396920615876825,0.015396920615876825,True
85,seg,FFA_1,transformer,-0.04926985,-0.06878922,-0.030140834,0.008198360327934412,0.015396920615876825,True
86,seg,FFA_2,head,-0.1236251,-0.15913719,-0.08745854,0.0001999600079984003,0.0003999200159968006,True
87,seg,FFA_2,transformer,-0.053173456,-0.06606955,-0.036684614,0.015796840631873626,0.015796840631873626,True
88,seg,OFA,head,-0.080892615,-0.12721755,-0.038906176,0.016396720655868825,0.03279344131173765,True
89,seg,OFA,transformer,-0.025830649,-0.048966285,-0.00645104,0.04099180163967207,0.04099180163967207,True
90,seg,V1d,head,-0.001822772,-0.021664375,0.014564055,0.877624475104979,0.877624475104979,False
91,seg,V1d,transformer,-0.011712444,-0.027370838,0.0046964055,0.21135772845430914,0.4227154569086183,False
92,seg,V1v,head,-0.025656868,-0.050415937,0.0015457773,0.125374925014997,0.125374925014997,False
93,seg,V1v,transformer,-0.03627332,-0.05855005,-0.014949511,0.021595680863827234,0.04319136172765447,True
94,seg,V2d,head,-0.021330375,-0.04051402,-0.0013886918,0.121375724855029,0.121375724855029,False
95,seg,V2d,transformer,-0.02594957,-0.044807322,-0.008068325,0.051789642071585686,0.10357928414317137,False
96,seg,V2v,head,-0.038224384,-0.06863174,-0.0084957415,0.0627874425114977,0.0627874425114977,False
97,seg,V2v,transformer,-0.04676913,-0.07007008,-0.026858859,0.008798240351929614,0.01759648070385923,True
98,seg,V3d,head,0.0006210543,-0.027683722,0.033817254,0.9718056388722256,0.9718056388722256,False
99,seg,V3d,transformer,-0.004898967,-0.031540193,0.02675182,0.7656468706258748,0.9718056388722256,False
100,seg,V3v,head,0.0062873773,-0.02027633,0.034661617,0.6930613877224555,0.8660267946410718,False
101,seg,V3v,transformer,-0.0013791646,-0.01723528,0.015844405,0.8660267946410718,0.8660267946410718,False
102,seg,hV4,head,-0.01645786,-0.05340139,0.018558979,0.45710857828434315,0.45710857828434315,False
103,seg,hV4,transformer,-0.02261823,-0.052892372,0.005316171,0.20595880823835233,0.41191761647670466,False
