,model_type,roi,task,mean_delta_x,ci_lower_95,ci_upper_95,n_subjects,mean_delta_y,p_one_sided,p_fdr,reject_fdr
0,head,EBA,depth,0.004191626215302682,0.00018724851543083787,0.008270704979076978,8,0.004191626,0.057694230576942306,0.11538846115388461,False
1,head,EBA,general_pose,0.002792792506619457,-0.002359422738663852,0.00913800098933279,8,0.0027927924,0.24427557244275572,0.32570076325700764,False
2,head,EBA,normal,-0.000830703040703526,-0.0034252338111400603,0.00128044915036298,8,-0.00083070295,0.655034496550345,0.655034496550345,False
3,head,EBA,seg,0.015880960610467426,0.004062318976502865,0.03066808274015783,8,0.015880961,0.0182981701829817,0.0731926807319268,False
4,head,FBA_1,depth,0.0015095097273640113,-0.001117199077270925,0.004592543002218008,5,0.0015095097,0.2816718328167183,0.3755624437556244,False
5,head,FBA_1,general_pose,-0.0020290367122888673,-0.004867249936796725,-0.00037696686922572553,5,-0.0020290366,1.0,1.0,False
6,head,FBA_1,normal,0.0005764797472565641,0.00018994936544913799,0.0011303527280688286,5,0.0005764797,0.06579342065793421,0.18018198180181982,False
7,head,FBA_1,seg,0.009338110904933306,-0.00023993372451514006,0.02245173044502735,5,0.009338111,0.09009099090090991,0.18018198180181982,False
8,head,FBA_2,depth,0.0006426130233601692,-0.001624125416856259,0.003915603971108792,7,0.0006426131,0.4500549945005499,0.8932106789321068,False
9,head,FBA_2,general_pose,-0.0022731855326171596,-0.005488570313900709,0.00039418478263542056,7,-0.0022731854,0.8932106789321068,0.8932106789321068,False
10,head,FBA_2,normal,-0.0016333244484888487,-0.003853992559015751,-3.5326258512213826e-05,7,-0.0016333245,0.8793120687931207,0.8932106789321068,False
11,head,FBA_2,seg,0.016057698193157405,0.008083027345128358,0.024255171418190002,7,0.016057696,0.008099190080991902,0.032396760323967606,True
12,head,FFA_1,depth,0.0025130290554669366,-0.00010339915115764596,0.005963587597943842,8,0.0025130291,0.08549145085491451,0.17098290170982902,False
13,head,FFA_1,general_pose,1.52742898509306e-05,-0.0006486462341854348,0.0007138281944207847,8,1.5274272e-05,0.47555244475552444,0.5608439156084392,False
14,head,FFA_1,normal,-0.00022166928721002732,-0.0015998326067347079,0.0007735376246273513,8,-0.00022166927,0.5608439156084392,0.5608439156084392,False
15,head,FFA_1,seg,0.006033665498169846,-0.000525381532497704,0.014307158999145031,8,0.0060336655,0.08549145085491451,0.17098290170982902,False
16,head,FFA_2,depth,0.0014753352382413931,-0.00011044513285014541,0.003789435373619199,7,0.0014753352,0.1004899510048995,0.200979902009799,False
17,head,FFA_2,general_pose,-0.0017756084729078556,-0.004173979337792844,0.0002865591668523848,7,-0.0017756085,0.8642135786421358,0.9919008099190081,False
18,head,FFA_2,normal,-0.0009934722206441013,-0.002015509846387431,-0.0001633208888961235,7,-0.0009934722,0.9919008099190081,0.9919008099190081,False
19,head,FFA_2,seg,0.012514582665543252,0.006010477605741471,0.018821389041841028,7,0.012514584,9.999000099990002e-05,0.00039996000399960006,True
20,head,OFA,depth,0.0055168399534597234,0.0013456548331305385,0.009807531209662549,8,0.0055168397,0.025897410258974102,0.0685931406859314,False
21,head,OFA,general_pose,0.0025551622797873597,-0.002316730562597513,0.007938184775412083,8,0.0025551622,0.2318768123187681,0.30916908309169083,False
22,head,OFA,normal,0.0008345188360188577,-0.003692890790989622,0.005133740056771778,8,0.00083451887,0.3538646135386461,0.3538646135386461,False
23,head,OFA,seg,0.008642581689015938,0.0020214874704834076,0.01639404706656933,8,0.008642581,0.0342965703429657,0.0685931406859314,False
24,head,V1d,depth,0.004263037118108812,0.0004726077742816416,0.00852070916444062,8,0.004263037,0.0456954304569543,0.12338766123387661,False
25,head,V1d,general_pose,0.0008447269434333632,-0.0013666499551618471,0.0028574239346198732,8,0.0008447269,0.20657934206579343,0.27543912275439125,False
26,head,V1d,normal,0.0018673298254375664,-0.00019521222857292738,0.0037641110830008984,8,0.0018673298,0.061693830616938304,0.12338766123387661,False
27,head,V1d,seg,3.716593609481844e-06,-0.004189779004082083,0.004104490391910076,8,3.7166756e-06,0.49545045495450457,0.49545045495450457,False
28,head,V1v,depth,0.0032698865158994755,-0.003439017100026831,0.01145701594650745,8,0.0032698866,0.250974902509749,0.334633203346332,False
29,head,V1v,general_pose,0.0028087858400031446,0.00012897094711661342,0.005701615428552029,8,0.002808786,0.05579442055794421,0.11158884111588842,False
30,head,V1v,normal,-0.000944122796179156,-0.0030445032753050327,0.0011294960480881834,8,-0.0009441228,0.8012198780121987,0.8012198780121987,False
31,head,V1v,seg,0.004235581615959674,0.0014539045456331222,0.007207138254307209,8,0.0042355815,0.015398460153984602,0.06159384061593841,False
